Protein	Domain	ProteinLength	DomainLength	DomainStart	DomainEnd
A5YKK6	PF04054	2376	359	1998	2357
O00220	PF00531	468	81	367	448
O00237	PF13639	685	44	619	663
O00257	PF00385	560	49	11	60
O00267	PF03439	1087	86	178	264
O00268	PF05236	1085	248	834	1082
O00273	PF02017	331	77	18	95
O00303	PF13012	357	112	243	355
O00308	PF00632	870	305	565	870
O00422	PF06487	153	118	19	137
O00463	PF00097	557	38	45	83
O00487	PF01398	310	113	26	139
O00487	PF13012	310	134	173	307
O00506	PF00069	426	250	20	270
O00567	PF01798	594	233	174	407
O00762	PF00179	179	136	34	170
O14508	PF07525	198	33	161	194
O14579	PF04733	308	290	15	305
O14640	PF00778	695	81	2	83
O14727	PF00619	1248	84	6	90
O14733	PF00069	419	260	120	380
O14744	PF05185	637	438	181	619
O14757	PF00069	476	256	9	265
O14763	PF00531	440	83	339	422
O14777	PF03801	642	155	51	206
O14867	PF03131	736	94	528	622
O14920	PF00069	756	282	15	297
O14965	PF00069	403	250	133	383
O15111	PF00069	745	283	15	298
O15116	PF01423	133	68	8	76
O15117	PF07653	783	55	515	570
O15144	PF04045	300	227	57	284
O15145	PF04062	178	172	1	173
O15151	PF13920	490	50	434	484
O15169	PF00778	862	79	781	860
O15169	PF00615	862	122	88	210
O15259	PF00018	732	46	158	204
O15315	PF08423	384	302	42	344
O15372	PF01398	352	112	34	146
O15392	PF00653	142	70	18	88
O15400	PF05739	261	52	201	253
O15492	PF00615	202	115	65	180
O15511	PF04699	151	141	10	151
O15514	PF03874	142	107	31	138
O15519	PF00656	480	224	253	477
O15524	PF07525	211	36	171	207
O15525	PF03131	162	91	24	115
O15535	PF02023	394	89	48	137
O15539	PF00615	181	115	64	179
O35625	PF00615	863	122	88	210
O43189	PF00628	567	53	89	142
O43242	PF01399	534	104	358	462
O43251	PF00076	390	68	123	191
O43294	PF03535	461	114	8	122
O43318	PF07714	606	248	36	284
O43353	PF07714	540	272	18	290
O43463	PF00385	412	49	43	92
O43482	PF03226	229	108	76	184
O43488	PF00248	359	307	41	348
O43502	PF08423	376	318	31	349
O43521	PF08945	198	36	130	166
O43543	PF08423	280	242	38	280
O43557	PF00229	240	128	112	240
O43598	PF05014	174	127	23	150
O43617	PF04051	180	147	19	166
O43633	PF03357	222	170	17	187
O43639	PF14604	380	48	118	166
O43734	PF08357	574	142	410	552
O43752	PF05739	255	52	199	251
O43791	PF00651	374	107	190	297
O43809	PF13869	227	187	35	222
O43924	PF05351	150	140	9	149
O54918	PF08945	196	37	128	165
O60238	PF06553	219	203	15	218
O60260	PF00240	465	70	3	73
O60264	PF09111	1052	114	898	1012
O60500	PF00041	1241	83	942	1025
O60516	PF05456	100	97	3	100
O60674	PF00017	1132	81	400	481
O60675	PF03131	156	91	24	115
O60683	PF13920	326	46	269	315
O60763	PF04869	962	284	344	628
O60832	PF01472	514	73	297	370
O60894	PF04901	148	109	37	146
O60921	PF04005	280	279	1	280
O75030	PF00010	526	53	312	365
O75379	PF00957	141	88	49	137
O75381	PF04695	377	110	25	135
O75419	PF02724	566	544	19	563
O75444	PF03131	373	91	261	352
O75461	PF02319	281	64	64	128
O75477	PF01145	346	234	24	258
O75489	PF00329	264	122	86	208
O75506	PF06825	76	50	10	60
O75525	PF00013	346	63	57	120
O75531	PF02961	89	87	1	88
O75553	PF00640	588	126	42	168
O75558	PF00804	287	198	41	239
O75636	PF00147	299	210	89	299
O75807	PF10488	674	76	543	619
O75815	PF00617	825	185	551	736
O75817	PF12328	140	101	32	133
