ProteinA	ProteinB	DomainA	DomainB
A5YKK6	Q9NZN8	PF04054	PF04153
A5YKK6	O75175	PF04054	PF04153
O00220	Q13158	PF00531	PF00531
O00237	Q96LR5	PF13639	PF00179
O00257	O00257	PF00385	PF00385
O00267	P24928	PF03439	PF04997
O00268	Q16514	PF05236	PF03847
O00273	O76075	PF02017	PF02017
O00303	Q9Y262	PF13012	PF10255
O00308	P68036	PF00632	PF00179
O00422	Q15287	PF06487	PF00076
O00463	Q12933	PF00097	PF00097
O00463	O00463	PF00097	PF00097
O00487	P55036	PF01398	PF13519
O00487	Q99460	PF13012	PF13646
O00506	Q14BN4	PF00069	PF00498
O00506	Q7L7X3	PF00069	PF00069
O00506	Q9P289	PF00069	PF00069
O00567	Q9Y2X3	PF01798	PF01798
O00567	P55769	PF01798	PF01248
O00762	O00762	PF00179	PF00179
O14508	Q15369	PF07525	PF03931
O14508	Q93034	PF07525	PF00888
O14579	P53621	PF04733	PF06957
O14640	O15169	PF00778	PF00778
O14727	P98170	PF00619	PF13920
O14733	P45983	PF00069	PF00069
O14744	O14744	PF05185	PF05185
O14744	Q9BQA1	PF05185	PF00400
O14757	P68400	PF00069	PF00069
O14763	Q13158	PF00531	PF00531
O14763	Q13546	PF00531	PF00531
O14777	Q8NBT2	PF03801	PF08286
O14777	Q9BZD4	PF03801	PF03800
O14777	O14777	PF03801	PF03801
O14867	O15525	PF03131	PF03131
O14867	Q9ULX9	PF03131	PF03131
O14920	O15111	PF00069	PF00069
O14920	O14920	PF00069	PF00069
O14920	O43318	PF00069	PF07714
O14920	P12931	PF00069	PF07714
O14920	Q13233	PF00069	PF00069
O14965	Q9ULW0	PF00069	PF09041
O14965	Q96EP1	PF00069	PF00498
O14965	Q9NQS7	PF00069	PF03941
O14965	P53350	PF00069	PF00069
O14965	O14965	PF00069	PF00069
O14965	P49841	PF00069	PF00069
O15111	O15111	PF00069	PF00069
O15111	P19525	PF00069	PF00069
O15111	P12931	PF00069	PF07714
O15111	Q13233	PF00069	PF00069
O15116	Q9Y333	PF01423	PF01423
O15116	P62310	PF01423	PF01423
O15117	Q86WV1	PF07653	PF00018
O15144	P59998	PF04045	PF05856
O15145	P61160	PF04062	PF00022
O15151	P51668	PF13920	PF00179
O15151	P62837	PF13920	PF00179
O15169	Q92997	PF00778	PF00778
O15169	P49840	PF00615	PF00069
O15169	Q9H2X6	PF00615	PF00069
O15259	Q07912	PF00018	PF07714
O15315	O43543	PF08423	PF08423
O15372	P60228	PF01398	PF01399
O15372	Q99613	PF01398	PF01399
O15372	Q7L2H7	PF01398	PF01399
O15372	B5ME19	PF01398	PF01399
O15392	P55210	PF00653	PF00656
O15392	P42574	PF00653	PF00656
O15392	O15392	PF00653	PF00653
O15400	Q9BV40	PF05739	PF00957
O15400	Q9UEU0	PF05739	PF12352
O15400	O43752	PF05739	PF05739
O15400	P63027	PF05739	PF00957
O15492	P08754	PF00615	PF00503
O15511	P59998	PF04699	PF05856
O15514	P24928	PF03874	PF04997
O15519	P42574	PF00656	PF00656
O15524	Q15369	PF07525	PF03931
O15525	Q14494	PF03131	PF03131
O15525	O15525	PF03131	PF03131
O15535	Q9NWS9	PF02023	PF02023
O15539	P08754	PF00615	PF00503
O15539	P04899	PF00615	PF00503
O15539	P09471	PF00615	PF00503
O35625	P49841	PF00615	PF00069
O43189	Q93062	PF00628	PF00076
O43242	P48556	PF01399	PF10075
O43242	O00232	PF01399	PF01399
O43251	O43251	PF00076	PF00076
O43294	Q14289	PF03535	PF03623
O43318	O15111	PF07714	PF00069
O43318	O43318	PF07714	PF07714
O43318	P51617	PF07714	PF00069
O43353	O43318	PF07714	PF07714
O43463	O00257	PF00385	PF00385
O43482	Q9NYP9	PF03226	PF03226
O43488	O95154	PF00248	PF00248
O43502	O15315	PF08423	PF08423
O43502	O43542	PF08423	PF08423
O43502	O43543	PF08423	PF08423
O43502	O75771	PF08423	PF08423
O43521	P10415	PF08945	PF00452
O43521	Q07817	PF08945	PF00452
O43521	Q07820	PF08945	PF00452
O43521	Q16548	PF08945	PF00452
O43543	O75771	PF08423	PF08423
O43557	Q92956	PF00229	PF00020
O43598	O43598	PF05014	PF05014
O43617	O75865	PF04051	PF04051
O43617	Q9UL33	PF04051	PF04628
O43617	Q8IUR0	PF04051	PF04051
O43617	Q86SZ2	PF04051	PF04051
O43633	Q9Y3E7	PF03357	PF03357
O43639	Q9NYB9	PF14604	PF14604
O43639	Q99704	PF14604	PF00169
O43734	O43734	PF08357	PF08357
O43734	Q96F46	PF08357	PF08357
O43752	Q9BV40	PF05739	PF00957
O43791	Q13618	PF00651	PF00888
O43809	Q8N684	PF13869	PF00076
O43809	Q16630	PF13869	PF00076
O43809	O43809	PF13869	PF13869
O43924	Q9WUL7	PF05351	PF00025
O54918	P10415	PF08945	PF00452
O54918	Q07817	PF08945	PF00452
O54918	Q16548	PF08945	PF00452
O54918	Q07820	PF08945	PF00452
O60238	O60238	PF06553	PF06553
O60260	P62253	PF00240	PF00179
O60260	Q9Y385	PF00240	PF00179
O60260	P68036	PF00240	PF00179
O60260	P00519	PF00240	PF00018
O60260	P60604	PF00240	PF00179
O60260	P61088	PF00240	PF00179
O60260	P62837	PF00240	PF00179
O60260	P61077	PF00240	PF00179
O60260	Q13404	PF00240	PF00179
O60260	Q16186	PF00240	PF04683
O60264	Q9NRL2	PF09111	PF15612
O60500	P06241	PF00041	PF00017
O60516	P06730	PF05456	PF01652
O60674	P19235	PF00017	PF00041
O60675	Q16236	PF03131	PF03131
O60683	O60683	PF13920	PF13920
O60763	O60763	PF04869	PF04869
O60832	Q6PI26	PF01472	PF04925
O60894	O60894	PF04901	PF04901
O60921	O60671	PF04005	PF02144
O75030	P19532	PF00010	PF00010
O75379	O43752	PF00957	PF05739
O75379	O15400	PF00957	PF05739
O75381	O75381	PF04695	PF04695
O75419	P33993	PF02724	PF14551
O75444	O75444	PF03131	PF03131
O75461	Q14186	PF02319	PF02319
O75461	Q14188	PF02319	PF02319
O75477	O94905	PF01145	PF01145
O75489	O75306	PF00329	PF00346
O75489	O75251	PF00329	PF01058
O75506	O75506	PF06825	PF06825
O75525	Q5VWX1	PF00013	PF00013
O75525	O75525	PF00013	PF00013
O75531	O75531	PF02961	PF02961
O75553	P05067	PF00640	PF10515
O75558	O75558	PF00804	PF00804
O75636	O75636	PF00147	PF00147
O75807	P62136	PF10488	PF00149
O75807	P36873	PF10488	PF00149
O75815	Q14511	PF00617	PF12026
O75817	Q9BUL9	PF12328	PF01918
O75969	P13861	PF10522	PF02197
O76039	O76039	PF00069	PF00069
O76083	O76083	PF00233	PF00233
O88846	P51668	PF13639	PF00179
O94906	Q6P2Q9	PF06424	PF08083
O94921	P38936	PF00069	PF02234
O94921	Q8ND76	PF00069	PF00134
O94921	O94921	PF00069	PF00069
O94941	P68036	PF04564	PF00179
O95071	Q9H074	PF00658	PF07145
O95071	P62837	PF00632	PF00179
O95154	O95154	PF00248	PF00248
O95155	P61077	PF04564	PF00179
O95155	P62837	PF04564	PF00179
O95166	Q9Y4P1	PF02991	PF03416
O95166	O95166	PF02991	PF02991
O95352	P60520	PF00899	PF02991
O95352	O95166	PF00899	PF02991
O95352	Q9H0R8	PF00899	PF02991
O95628	P51965	PF14570	PF00179
O95644	Q9BZS1	PF00554	PF00250
O95704	P05067	PF00640	PF10515
O96015	Q96FJ2	PF01221	PF01221
P00352	P00352	PF00171	PF00171
P00492	Q9NRG1	PF00156	PF00156
P00519	Q9NYB9	PF07714	PF14604
P00519	O15350	PF00018	PF00870
P00533	P29353	PF07714	PF00017
P00533	P42229	PF07714	PF00017
P00533	P40763	PF07714	PF00017
P00533	O15357	PF07714	PF00017
P00533	P42224	PF07714	PF00017
P00533	P17612	PF07714	PF00069
P00533	Q13480	PF07714	PF00169
P00533	Q8TF42	PF07714	PF14604
P00533	Q9UJM3	PF07714	PF11555
P00533	Q12929	PF07714	PF00018
P00533	O75886	PF07714	PF00018
P00533	Q14247	PF07714	PF14604
P00533	P18031	PF07714	PF00102
P00533	Q05209	PF07714	PF00102
P00533	Q13387	PF07714	PF14604
P00533	Q92918	PF07714	PF00069
P00533	Q9NSE2	PF07714	PF00017
P00734	P07204	PF00089	PF14670
P00747	P08697	PF00089	PF00079
P00749	P07093	PF00089	PF00079
P00749	P05154	PF00089	PF00079
P00966	P00966	PF00764	PF00764
P01040	P07711	PF00031	PF00112
P01100	P05412	PF00170	PF00170
P01100	P17535	PF00170	PF00170
P01100	O75444	PF00170	PF03131
P01100	P17275	PF00170	PF00170
P01112	P15056	PF00071	PF02196
P01112	P04049	PF00071	PF02196
P01112	Q8IZJ4	PF00071	PF00617
P01112	Q8WWW0	PF00071	PF00788
P01116	P04049	PF00071	PF02196
P01374	Q06643	PF00229	PF00229
P02538	P19012	PF00038	PF00038
P02647	P02647	PF01442	PF01442
P02671	P00750	PF08702	PF00089
P02766	P02766	PF00576	PF00576
P02776	P02776	PF00048	PF00048
P02792	P02792	PF00210	PF00210
P02794	P02792	PF00210	PF00210
P03372	Q15788	PF00104	PF08832
P04049	O14807	PF02196	PF00071
P04049	P10301	PF02196	PF00071
P04075	P04075	PF00274	PF00274
P04075	P09972	PF00274	PF00274
P04150	Q9Y6Q9	PF00104	PF08832
P04150	Q15788	PF00104	PF08832
P04150	Q15596	PF00104	PF08832
P04198	P61244	PF00010	PF00010
P04259	P19012	PF00038	PF00038
P04591	P62937	PF00607	PF00160
P04608	P50750	PF00539	PF00069
P04608	P51825	PF00539	PF05110
P04626	P29353	PF07714	PF00017
P04626	P40763	PF07714	PF00017
P04629	P29353	PF07714	PF00017
P04629	P04629	PF07714	PF07714
P04637	Q16611	PF00870	PF00452
P04637	O15151	PF08563	PF02201
P04637	Q13625	PF00870	PF00018
P04792	P04792	PF00011	PF00011
P05019	Q16270	PF00049	PF00219
P05067	Q99767	PF10515	PF00640
P05067	Q02410	PF10515	PF00640
P05109	P05109	PF01023	PF01023
P05113	Q01344	PF02025	PF09240
P05113	P05113	PF02025	PF02025
P05198	P19525	PF00575	PF00069
P05230	P22455	PF00167	PF07679
P05231	P08887	PF00489	PF09240
P05362	P20701	PF03921	PF00092
P05386	P05387	PF00428	PF00428
P05412	P15336	PF00170	PF00170
P05412	P05412	PF00170	PF00170
P05412	Q16236	PF00170	PF03131
P05423	Q9NW08	PF05132	PF04566
P05423	Q9NVU0	PF05132	PF04801
P05783	P05787	PF00038	PF00038
P06213	P35568	PF07714	PF00169
P06213	Q05655	PF07714	PF00069
P06213	O15357	PF07714	PF00017
P06241	O43281	PF07714	PF14604
P06400	Q14186	PF08934	PF08781
P06400	Q14188	PF08934	PF08781
P06401	Q15788	PF00104	PF08832
P06702	P06702	PF01023	PF01023
P06703	Q9HB71	PF01023	PF05002
P06730	Q13541	PF01652	PF05456
P06730	Q13542	PF01652	PF05456
P06746	P18887	PF14791	PF01834
P06748	O75607	PF03066	PF03066
P06748	P06748	PF03066	PF03066
P06753	P06753	PF00261	PF00261
P06850	P34998	PF00473	PF02793
P07288	P05154	PF00089	PF00079
P07332	P11274	PF00017	PF00168
P07737	P60709	PF00235	PF00022
P07858	P01040	PF00112	PF00031
P07858	P04080	PF00112	PF00031
P07900	O95433	PF00183	PF09229
P07900	Q15185	PF02518	PF04969
P07900	Q9Y2Z0	PF02518	PF04969
P07900	Q7L3B6	PF02518	PF08565
P07910	Q96IZ5	PF00076	PF00076
P07910	P07910	PF00076	PF00076
P07910	Q86SE5	PF00076	PF00076
P07910	Q9UKM9	PF00076	PF00076
P07948	Q8WWW8	PF07714	PF00169
P07949	P40763	PF07714	PF00017
P07951	P07951	PF00261	PF00261
P08069	P35568	PF07714	PF00169
P08069	P29353	PF07714	PF00017
P08238	O95433	PF00183	PF09229
P08238	Q16543	PF02518	PF08565
P08238	Q15185	PF02518	PF04969
P08393	P51668	PF00097	PF00179
P08393	P51965	PF00097	PF00179
P08581	P14210	PF01403	PF00089
P08670	P35900	PF00038	PF00038
P08670	P08670	PF00038	PF00038
P08754	P04899	PF00503	PF00503
P09467	P09467	PF00316	PF00316
P09467	O00757	PF00316	PF00316
P09493	P09493	PF00261	PF00261
P09493	P07951	PF00261	PF00261
P09493	P67936	PF00261	PF00261
P09493	P06753	PF00261	PF00261
P09661	P62316	PF14580	PF01423
P09661	P62314	PF14580	PF01423
P0C7T5	P54253	PF08517	PF08517
P10074	Q96BR9	PF00651	PF00651
P10145	P10145	PF00048	PF00048
P10242	Q09472	PF07988	PF02172
P10275	Q9Y6Q9	PF00104	PF08832
P10275	Q15788	PF00104	PF08832
P10275	Q15596	PF00104	PF08832
P10276	Q15596	PF00104	PF08832
P10276	Q15788	PF00104	PF08832
P10276	Q9Y6Q9	PF00104	PF08832
P10398	P10301	PF02196	PF00071
P10398	P01116	PF02196	PF00071
P10415	Q14457	PF00452	PF15285
P10515	P11177	PF02817	PF02780
P10599	Q9H3M7	PF00085	PF02752
P10600	P37173	PF00019	PF08917
P10721	P21583	PF00047	PF02404
P10809	P61604	PF00118	PF00166
P10827	Q15788	PF00104	PF08832
P10828	Q15596	PF00104	PF08832
P10828	Q15788	PF00104	PF08832
P10828	Q9Y6Q9	PF00104	PF08832
P10912	O60674	PF00041	PF00017
P10912	O14508	PF00041	PF00017
P10914	Q00978	PF00605	PF00605
P11021	Q8IXB1	PF00012	PF00226
P11142	Q92598	PF00012	PF00012
P11142	P54652	PF00012	PF00012
P11142	Q9NXW2	PF00012	PF00226
P11142	O60884	PF00012	PF00226
P11177	O00330	PF02780	PF02817
P11233	Q13393	PF00071	PF00169
P11234	Q15311	PF00071	PF00620
P11274	P08631	PF00168	PF00017
P11274	P62993	PF00168	PF00017
P11274	P46109	PF00168	PF00017
P11274	P00519	PF00168	PF00017
P11441	P46379	PF00240	PF00240
P11473	Q15788	PF00104	PF08832
P11831	P11831	PF00319	PF00319
P11940	Q8IYD1	PF00658	PF07145
P12004	Q9UBT6	PF00705	PF11799
P12004	Q9UBZ9	PF00705	PF11799
P12524	P61244	PF00010	PF00010
P12643	Q13873	PF00019	PF01064
P12643	P36894	PF00019	PF01064
P12757	Q15796	PF08782	PF03166
P13501	P51681	PF00048	PF00001
P13501	P32246	PF00048	PF00001
P13631	Q15788	PF00104	PF08832
P13798	P13798	PF00326	PF00326
P13805	P13805	PF00992	PF00992
P13805	P09493	PF00992	PF00261
P13861	Q12802	PF02197	PF10522
P14317	Q9H788	PF00018	PF00017
P14373	P36406	PF00643	PF00643
P14678	P62318	PF01423	PF01423
P14778	Q99836	PF01582	PF01582
P14778	P51617	PF07679	PF00069
P15172	P15923	PF00010	PF00010
P15173	P15923	PF00010	PF00010
P15313	Q9Y5K8	PF00006	PF01813
P15336	P15336	PF00170	PF00170
P15336	P01100	PF00170	PF00170
P15407	P05412	PF00170	PF00170
P15408	P05412	PF00170	PF00170
P15408	P17275	PF00170	PF00170
P15531	O00746	PF00334	PF00334
P15531	Q13232	PF00334	PF00334
P15531	P15531	PF00334	PF00334
P15531	P22392	PF00334	PF00334
P15884	Q02363	PF00010	PF00010
P15884	P41134	PF00010	PF00010
P15918	P55895	PF12940	PF03089
P15923	Q02535	PF00010	PF00010
P15923	P41134	PF00010	PF00010
P15923	P15923	PF00010	PF00010
P15923	Q02363	PF00010	PF00010
P16104	Q16778	PF00125	PF00125
P16104	Q08945	PF00125	PF08512
P16104	Q9Y5B9	PF00125	PF08512
P16104	P68431	PF00125	PF00125
P16220	Q09472	PF02173	PF02172
P16333	Q05193	PF14604	PF00169
P16333	Q99704	PF14604	PF00169
P16389	Q13303	PF02214	PF00248
P16435	P33261	PF00258	PF00067
P16435	P11712	PF00258	PF00067
P16435	P05181	PF00258	PF00067
P16435	P05177	PF00258	PF00067
P16444	P16444	PF01244	PF01244
P16619	P51681	PF00048	PF00001
P17028	Q9NWS9	PF02023	PF02023
P17028	P57086	PF02023	PF02023
P17040	P57086	PF02023	PF02023
P17081	Q9HD26	PF00071	PF00595
P17081	Q9BYG5	PF00071	PF00595
P17252	P00533	PF00069	PF07714
P17275	P15407	PF00170	PF00170
P17275	Q16520	PF00170	PF00170
P17342	P01160	PF01094	PF00212
P17342	P16860	PF01094	PF00212
P17342	P23582	PF01094	PF00212
P17542	P15884	PF00010	PF00010
P17542	P15923	PF00010	PF00010
P17542	Q99081	PF00010	PF00010
P17612	P22694	PF00069	PF00069
P17676	Q04206	PF07716	PF00554
P17676	P49715	PF07716	PF07716
P17676	P17676	PF07716	PF07716
P17706	P42224	PF00102	PF00017
P17980	P62195	PF00004	PF00004
P17980	P62191	PF00004	PF00004
