ProteinA	ProteinB	DM1	DM2	DM3
A5YKK6	Q9NZN8	0.49479978954036413	0.7600605737572822	0.6658733360209141
A5YKK6	O75175	0.6764304829244814	0.43042009112213175	0.42979893407954695
O00220	Q13158	0.6091693766685443	0.6085244673826924	0.6468913431594425
O00237	Q96LR5	0.15884182239494204	0.2122079513210414	0.29224216121009877
O00257	O00257	0.0	0.0	0.0
O00267	P24928	0.12619937033136175	0.12684988254956464	0.12684988254956464
O00268	Q16514	0.6375384843546984	0.5367454590829975	0.6609794725793684
O00273	O76075	0.0384529367412624	0.0	0.039850260732890226
O00303	Q9Y262	0.6104342795869067	0.6033544643020368	0.6500778506492207
O00308	P68036	0.5513639913637969	0.5513362904888693	0.5223428538163091
O00422	Q15287	0.5725634004948887	0.5573797352559462	0.30665926331392507
O00463	Q12933	0.005809805124602956	0.005645563123245888	0.0637251460035193
O00463	O00463	0.0	0.0	0.007181328545780969
O00487	P55036	0.05930573003500076	0.05930573003500076	0.05930573003500076
O00487	Q99460	0.43566901679558245	0.39461120369442815	0.020528906550577184
O00506	Q14BN4	0.17594675776003293	0.11121162990492647	0.10955175483171861
O00506	Q7L7X3	0.2115063821011816	0.1953826987806316	0.137657850647523
O00506	Q9P289	0.2684460346252748	0.2565863496397847	0.22571823362599952
O00567	Q9Y2X3	0.261891400439462	0.25117766133057495	0.0
O00567	P55769	0.0	0.12153397801643785	0.20237062761231156
O00762	O00762	0.31843575418994413	0.16908096033990566	0.57415655841046
O14508	Q15369	0.5849023146884778	0.8715255017362528	0.8715255017362528
O14508	Q93034	0.4915547749248176	0.5882072449336415	0.7113482369055247
O14579	P53621	0.6084507092101163	0.849190627850684	0.8360343466646906
O14640	O15169	0.253475632699122	0.11894487618567214	0.25183501371725064
O14727	P98170	0.06971475307473003	0.08109675357672677	0.08109675357672677
O14733	P45983	0.32435440832616014	0.2616818748415749	0.3161010442586819
O14744	O14744	0.2841444270015698	0.9733124018838304	0.9733124018838304
O14744	Q9BQA1	0.381757850060516	0.7997311984587288	0.7997311984587288
O14757	P68400	0.32365590911658554	0.3472733868868682	0.3440638338233051
O14763	Q13158	0.6350661217900307	0.6494613947770761	0.46137832634671394
O14763	Q13546	0.8374692362669167	0.7688152941788181	0.7682409033888333
O14777	Q8NBT2	0.2261305949987436	0.2261305949987436	0.22254122047495403
O14777	Q9BZD4	0.0	0.0	0.0
O14777	O14777	0.0	0.0	0.0
O14867	O15525	0.0713090902325363	0.07325016408737882	0.01537188654753364
O14867	Q9ULX9	0.07489219585203828	0.03776324789092132	0.01537188654753364
O14920	O15111	0.1825840681565236	0.15217496610949327	0.15532915338140985
